Kamis, 24-07-2025 | 26.400 PCS | Rp120.700,00
Jumat, 25-07-2025 | 18.555 PCS | Rp84.213,75
Senin, 28-07-2025 | 7.720 PCS | Rp32.810,00
Selasa, 29-07-2025 | 10.190 PCS | Rp43.307,50
Rabu, 30-07-2025 | 11.150 PCS | Rp47.387,50
Kamis, 31-07-2025 | 200 PCS | Rp850
Jumat, 01-08-2025 | 13.500 PCS | Rp57.375
Senin, 04-08-2025 | 17.378 PCS | Rp73.856
Selasa, 05-08-2025 | 13.860 PCS | Rp58.905
Rabu, 06-08-2025 | 13.880 PCS | Rp58.990
Kamis, 07-08-2025 | 16.295 PCS | Rp69.253
Jumat, 08-08-2025 | 20.840 PCS | Rp88.570
Senin, 11-08-2025 | 20.600 PCS | Rp87.550
Selasa, 12-08-2025 | 25.770 PCS | Rp109.522
Rabu, 13-08-2025 | 20.415 PCS | Rp86.763
Kamis, 14-08-2025 | 22.190 PCS | Rp94.307
