Kamis, 24-07-2025 | 20.901 PCS | Rp88.829,25
Jumat, 25-07-2025 | 7.207 PCS | Rp30.629,75
Senin, 28-07-2025 | 10.000 PCS | Rp42.500,00
Selasa, 29-07-2025 | 3.400 PCS | Rp14.450,00
Rabu, 30-07-2025 | 8.254 PCS | Rp35.079,50
Kamis, 31-07-2025 | 600 PCS | Rp2.550
Jumat, 01-08-2025 | 13.950 PCS | Rp59.287
Senin, 04-08-2025 | 18.300 PCS | Rp77.775
Selasa, 05-08-2025 | 10.160 PCS | Rp43.180
Rabu, 06-08-2025 | 14.200 PCS | Rp60.350
Kamis, 07-08-2025 | 18.400 PCS | Rp78.200
Jumat, 08-08-2025 | 20.700 PCS | Rp87.975
Senin, 11-08-2025 | 20.757 PCS | Rp88.217
Selasa, 12-08-2025 | 26.990 PCS | Rp114.707
Rabu, 13-08-2025 | 21.200 PCS | Rp90.100
